original_number,isin,name,mic,market_code,currency,instrument_type,ticker_bloomberg,ticker_google,yf_symbol,exchange_name
1365,US48123V1026,J2 GLOBAL INC J2,XNAS,USA-NASDAQ,USD,STOCK,JCOM:US,GLOBAL,JCOM,NASDAQ
1400,US5504243032,LUMINAR TECHNOLOGIES LUMINAR,XNAS,USA-NASDAQ,USD,STOCK,LAZR:US,TECH,LAZR,NASDAQ
1428,IL0011762130,MONDAY.COM LTD,XNAS,USA-NASDAQ,USD,STOCK,MDNY:US,MONDAY.COM,MDNY,NASDAQ
1450,US6496048405,NEW YORK MORTGAGE TRUST INC NY,XNAS,USA-NASDAQ,USD,STOCK,NYMT:US,MORTGAGE,NYMT,NASDAQ
1457,US6687711084,NORTON LIFELOCK INC,XNAS,USA-NASDAQ,USD,STOCK,NLOK:US,NORTON,NLOK,NASDAQ
1476,US6903701018,OVERSTOCK.COM INC OVERSTOCKCOM,XNAS,USA-NASDAQ,USD,STOCK,OSTK:US,,OSTK,NASDAQ
1481,US69932A2042,PARAMOUNT SKYDANCE INC PARAMOUNT,XNAS,USA-NASDAQ,USD,STOCK,PARA:US,SK,PARA,NASDAQ
1515,US76009N1000,RENT-A-CENTER INC RENTACENTER,XNAS,USA-NASDAQ,USD,STOCK,RCII:US,,RCII,NASDAQ
1517,US75960P1049,REMITLY GLOBAL INC REMITLY,XNAS,USA-NASDAQ,USD,STOCK,RRELY:US,GLOB,RRELY,NASDAQ
1536,US80874P1093,SCIENTIFIC GAMES CORP SCIENT,XNAS,USA-NASDAQ,USD,STOCK,SGMS:US,GAMES,SGMS,NASDAQ
1594,US9004502061,TURTLE BEACH CORP TURTLE,XNAS,USA-NASDAQ,USD,STOCK,HEAR:US,BEACH,HEAR,NASDAQ
1595,US90089L1089,TUSIMPLE HOLDINGS INC TUSIMPLE,XNAS,USA-NASDAQ,USD,STOCK,TSP:US,HOL,TSP,NASDAQ
1618,US92556V1061,VIATRIS INC VIATRIS,XNAS,USA-NASDAQ,USD,STOCK,VTRSV:US,INC,VTRSV,NASDAQ
1629,IE00BDB6Q211,WILLIS TOWERS WATSON PLC WILLIS,XNAS,USA-NASDAQ,USD,STOCK,WLTW:US,TOWER,WLTW,NASDAQ
1643,US7960508882,SAMSUNG ELECTRONICS CO LTD-GDR,XETR,DEU-XETRA,EUR,ADR_GDR,SSU:GR,SAMSUNG,SSU.DE,DEUTSCHE BÖRSE
1644,US0003752047,ABB LTD-ADR ABB,XNYS,USA-NYSE,USD,ADR_GDR,ABB:US,LTD,ABB,NEW YORK STOCK EXCHANGE
1658,US1380063099,CANON INC -ADR CANON,XNYS,USA-NYSE,USD,ADR_GDR,CAJ:US,INC,CAJ,NEW YORK STOCK EXCHANGE
1667,US29082A1079,EMBRAER SA-ADR EMBRAER,XNYS,USA-NYSE,USD,ADR_GDR,ERJ:US,SA,ERJ,NEW YORK STOCK EXCHANGE
1674,US4055521003,HALEON PLC ADR HALEON,XNYS,USA-NYSE,USD,ADR_GDR,HLN-W:US,ADR,HLN-W,NEW YORK STOCK EXCHANGE
